sn,invertersn,temperature,vpv1,vpv2,vpv3,vpv4,vpv5,vpv6,vpv7,vpv8,vpv9,vpv10,vpv11,vpv12,vpv13,vpv14,vpv15,vpv16,vpv17,vpv18,vpv19,vpv20,vpv21,vpv22,vpv23,vpv24,vpv25,vpv26,vpv27,vpv28,vpv29,vpv30,ipv1,ipv2,ipv3,ipv4,ipv5,ipv6,ipv7,ipv8,ipv9,ipv10,ipv11,ipv12,ipv13,ipv14,ipv15,ipv16,ipv17,ipv18,ipv19,ipv20,ipv21,ipv22,ipv23,ipv24,ipv25,ipv26,ipv27,ipv28,ipv29,ipv30,vac1,vac2,vac3,iac1,iac2,iac3,fac1,fac2,fac3,pac,eday,etotal,ttotal,switchstatus,powercurvenumber,errorcode,alertcode,alertcodelist,errorcodelist,createtime,outputpowerratio,activepower,reactivepower,inspectingpower,powerfactor,etl_time,ds
TP40KBT000B231023035,TP40KBT000B231023035,14.7,482.1,482.1,482.2,482.2,481.9,481.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,240.1,238.5,238.9,0,0,0,50.01,50.01,50.01,0,0,52559.5,4469,0,0,0,0,\N,\N,2025-08-03 04:25:36,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,2025-08-03 04:30:37,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,16.4,566.4,566.4,566.5,566.5,566.3,566.3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,240,238.3,238.9,0,0,0,50.03,50.03,50.03,0,0,52559.5,4469,0,0,0,0,\N,\N,2025-08-03 04:35:37,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,16.7,585.1,585.1,585.1,585.1,583,583,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,239.8,237.7,237.7,0,0,0,50.03,50.03,50.03,0,0,52559.5,4469,0,0,0,0,\N,\N,2025-08-03 04:40:37,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,16.7,597.7,597.7,597.5,597.5,594.7,594.7,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,239.7,237.5,238.2,0,0,0,50.03,50.03,50.03,0,0,52559.5,4469,1,0,0,0,\N,\N,2025-08-03 04:45:37,0,0,0,0,0,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,17.1,535.2,535.2,515,515,544.4,544.4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.3,-0.1,0.1,0,0.2,-0.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,240,237.8,238.5,2,2.1,2.1,50.03,50.03,50.03,111,0,52559.5,4469,1,0,0,0,\N,\N,2025-08-03 04:50:37,0,111,-83,138,-0.8,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,17.4,467.2,467.2,469.6,469.6,504.3,504.3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.4,-0.1,0.1,0,0.2,-0.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,239.3,236.7,237.9,1.9,2,2,50.04,50.04,50.04,222,0,52559.5,4469,1,0,0,0,\N,\N,2025-08-03 04:55:38,0.01,222,-40,226,-0.98,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,18,543.2,543.2,561.9,561.9,459.9,459.9,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.5,-0.1,0.2,0,0.3,-0.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,239.3,236.7,237.9,1.7,1.8,1.8,50.02,50.02,50.02,365,0,52559.5,4469,1,0,0,0,\N,\N,2025-08-03 05:00:39,0.01,365,242,438,0.83,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,18.7,605.4,605.4,553.9,553.9,564.3,564.3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.5,0,0.3,0,0.3,-0.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,238.6,236.9,238.6,1.9,2,2,50.02,50.02,50.02,510,0,52559.5,4469,1,0,0,0,\N,\N,2025-08-03 05:05:39,0.01,510,-94,518,-0.98,2025-08-04 02:34:14,20250803
TP40KBT000B231023035,TP40KBT000B231023035,19,589.4,589.4,513.9,513.9,560.4,560.4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.6,0,0.4,0,0.4,-0.1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,239.3,236.1,238.5,2,2.1,2.1,49.98,49.98,49.98,711,0.1,52559.6,4469,1,0,0,0,\N,\N,2025-08-03 05:10:39,0.02,711,-66,714,-1,2025-08-04 02:34:14,20250803
